category,answer_id,question_id,question_title,author_name,char_count,story_score,voteup_count,favorite_count,url,txt_file,json_file,sha256
01_悬疑惊悚,2452710708,456100334,你听过最恐怖故事是什么？,南迦巴瓦遇见亚丁,6196,1.0,56910,45063,https://www.zhihu.com/question/456100334/answer/2452710708,01_悬疑惊悚/2452710708_456100334.txt,01_悬疑惊悚/2452710708_456100334.json,a32428b4db9949c756e8d321b890f1e11fb260ddc795aee3a38642c0f59a9c89
01_悬疑惊悚,58073221856,638824457,听过哪些民间诡异故事？,小妖UU,7390,1.0,33322,12552,https://www.zhihu.com/question/638824457/answer/58073221856,01_悬疑惊悚/58073221856_638824457.txt,01_悬疑惊悚/58073221856_638824457.json,894c72e508ad05777dfcc0c0d5790fddf94efe49825f439f593f6e5f64f78753
01_悬疑惊悚,2015152213,472870216,有没有让你感触最深的恐怖故事？,唐僧肉,5618,1.0,29624,34174,https://www.zhihu.com/question/472870216/answer/2015152213,01_悬疑惊悚/2015152213_472870216.txt,01_悬疑惊悚/2015152213_472870216.json,4acea47823061f11aa6d8216c836d8a1e0634c46686934f50c7118fab4234d79
01_悬疑惊悚,693870833,317945181,有什么让人听了背脊发凉的恐怖故事？,网易看客,6077,1.0,25671,7891,https://www.zhihu.com/question/317945181/answer/693870833,01_悬疑惊悚/693870833_317945181.txt,01_悬疑惊悚/693870833_317945181.json,b7d75c6e5f583292a69443fc27f503e9514be33e650094f71dcaed48daa1d949
01_悬疑惊悚,2413789515,456100334,你听过最恐怖故事是什么？,小柒崽子,7394,1.0,19080,20968,https://www.zhihu.com/question/456100334/answer/2413789515,01_悬疑惊悚/2413789515_456100334.txt,01_悬疑惊悚/2413789515_456100334.json,80d17d9a202abdff4b1872165645efbd5b3756a91cf5cd7f90e92e69c09fc791
01_悬疑惊悚,3472922456,317945181,有什么让人听了背脊发凉的恐怖故事？,卫雨,5950,1.0,17353,5947,https://www.zhihu.com/question/317945181/answer/3472922456,01_悬疑惊悚/3472922456_317945181.txt,01_悬疑惊悚/3472922456_317945181.json,9f1f8fb32653ea065dd620b6dba397b06fdfd6b8461830a9ee7aae33a17389de
01_悬疑惊悚,3472922544,454282020,你有什么恐怖的亲身经历嘛？,卫雨,5860,1.0,9743,4662,https://www.zhihu.com/question/454282020/answer/3472922544,01_悬疑惊悚/3472922544_454282020.txt,01_悬疑惊悚/3472922544_454282020.json,bccbe237a6e97475099dea20323927084cce81f6535eaeee710d7f28b42ec6e1
01_悬疑惊悚,2117304373,371809887,有什么巨短却超级吓人的恐怖故事？,什么都好,6873,1.0,9461,6946,https://www.zhihu.com/question/371809887/answer/2117304373,01_悬疑惊悚/2117304373_371809887.txt,01_悬疑惊悚/2117304373_371809887.json,201f41d02f2432c187cc790c9b677ad14e96b302ea0911ab9e87733b7e248254
01_悬疑惊悚,3049221661,277882723,人性到底能有多阴暗？,玄千幻,6226,1.0,9001,7869,https://www.zhihu.com/question/277882723/answer/3049221661,01_悬疑惊悚/3049221661_277882723.txt,01_悬疑惊悚/3049221661_277882723.json,81ef0128836dd2cbc39f83892acc7d7c1d81dbeae2609acf906d78fe0ddb35e2
01_悬疑惊悚,660934144,293120775,有什么真的很恐怖或细思恐极的鬼故事？,CD半张脸,5990,1.0,8355,3812,https://www.zhihu.com/question/293120775/answer/660934144,01_悬疑惊悚/660934144_293120775.txt,01_悬疑惊悚/660934144_293120775.json,514d618845c4e50f0a9b41601ea79471ed1680265b61c50b145b2e6a3b9fd6a3
01_悬疑惊悚,2602194032,456100334,你听过最恐怖故事是什么？,宛宛,6573,1.0,8166,3443,https://www.zhihu.com/question/456100334/answer/2602194032,01_悬疑惊悚/2602194032_456100334.txt,01_悬疑惊悚/2602194032_456100334.json,e96e5caedd516186a8b1eebd86c88b2ea2b017e693dbbb0d1d95b121718dbdff
01_悬疑惊悚,3313087877,584299454,有没有烧脑又惊悚的规则怪谈故事？,虎虎生威大王,5514,1.0,7605,1305,https://www.zhihu.com/question/584299454/answer/3313087877,01_悬疑惊悚/3313087877_584299454.txt,01_悬疑惊悚/3313087877_584299454.json,dcd41a0180e359718f85f2d14ca9e68da576c4bddaaa2ff04b6f7c8a77aaba45
01_悬疑惊悚,2953170707,317945181,有什么让人听了背脊发凉的恐怖故事？,白泽丧葬用品店,5963,1.0,7155,5452,https://www.zhihu.com/question/317945181/answer/2953170707,01_悬疑惊悚/2953170707_317945181.txt,01_悬疑惊悚/2953170707_317945181.json,d551033761e2ff85eed22cfa652a372a068b5c30bfd7e2e837f35fbf05e2ff2e
01_悬疑惊悚,3446508348,454282020,你有什么恐怖的亲身经历嘛？,盐言故事档案局,6199,1.0,6460,725,https://www.zhihu.com/question/454282020/answer/3446508348,01_悬疑惊悚/3446508348_454282020.txt,01_悬疑惊悚/3446508348_454282020.json,bda28ecaa23984d530957ab866265a93eb4e5d7bd58beef6b0dda6db06724179
01_悬疑惊悚,3561336839,476187441,有没有病娇文?！！！！？,几颗桃子,5487,1.0,6114,3696,https://www.zhihu.com/question/476187441/answer/3561336839,01_悬疑惊悚/3561336839_476187441.txt,01_悬疑惊悚/3561336839_476187441.json,fa5f6626ce58d42779ae2d594e30e125b9b9afbf17871010e5ed9419ac918110
01_悬疑惊悚,3588042353,289148822,你看过最恐怖的鬼故事是什么？,白泽丧葬用品店,5597,1.0,5998,2120,https://www.zhihu.com/question/289148822/answer/3588042353,01_悬疑惊悚/3588042353_289148822.txt,01_悬疑惊悚/3588042353_289148822.json,7bc4264ca431ee8c98b3ca30784c85ad6942283e850dc46b155ca373e8d21be3
01_悬疑惊悚,894249927,348025005,有哪些诡异邪性的民间故事？,稳健,6180,1.0,5969,1345,https://www.zhihu.com/question/348025005/answer/894249927,01_悬疑惊悚/894249927_348025005.txt,01_悬疑惊悚/894249927_348025005.json,816e792b2a5290317cf806012d888b2df4bc8845d0f98f06b8e6c90b3789a619
01_悬疑惊悚,2539757811,21490596,你所经历过的最恐怖惊悚的故事是什么？,为为武功盖世,5537,1.0,5646,5452,https://www.zhihu.com/question/21490596/answer/2539757811,01_悬疑惊悚/2539757811_21490596.txt,01_悬疑惊悚/2539757811_21490596.json,6d36949eceb4f8be7675802789d2148dbb122e67f649c641c68b5ec1417d526e
01_悬疑惊悚,2411505091,21490596,你所经历过的最恐怖惊悚的故事是什么？,推理档案馆,6275,1.0,5332,4558,https://www.zhihu.com/question/21490596/answer/2411505091,01_悬疑惊悚/2411505091_21490596.txt,01_悬疑惊悚/2411505091_21490596.json,3c3307f5a4d232616ba99cddd9c1b062958c4849881d0b920fefd199017d2454
01_悬疑惊悚,2643590059,287860022,有哪些恐怖到极致的故事?,大笛,9679,1.0,5233,5623,https://www.zhihu.com/question/287860022/answer/2643590059,01_悬疑惊悚/2643590059_287860022.txt,01_悬疑惊悚/2643590059_287860022.json,30fec6945fcef704a833c56926a11490dd14f3b1e5e18543c6623d0dd5c32687
01_悬疑惊悚,1593863773,352776383,你见过最恐怖的事是什么？,惊人院,7904,1.0,4740,4430,https://www.zhihu.com/question/352776383/answer/1593863773,01_悬疑惊悚/1593863773_352776383.txt,01_悬疑惊悚/1593863773_352776383.json,399a034b6954e265a0b40e6a9643e33ac55cbb052d5eb0247fb6db66b1e6e1e1
01_悬疑惊悚,77849243150,584299454,有没有烧脑又惊悚的规则怪谈故事？,道士十七,7055,1.0,4664,1843,https://www.zhihu.com/question/584299454/answer/77849243150,01_悬疑惊悚/77849243150_584299454.txt,01_悬疑惊悚/77849243150_584299454.json,80f4c2a0f58d0caa36fc06374a1a642a038561e54fccae8298ba2171cc30ea2c
01_悬疑惊悚,2623183218,534844897,如何以「我怀疑，我是恐怖小说的NPC」为开头写一篇文？,,9856,1.0,4659,3934,https://www.zhihu.com/question/534844897/answer/2623183218,01_悬疑惊悚/2623183218_534844897.txt,01_悬疑惊悚/2623183218_534844897.json,ee047409aa9f9639bb1089935b466e3c691cec822b9a3780049cfdf27a9d10a3
